periodo,cuit,razon_social_contri,jurisdiccion_sede,crc,alicuota_unica_letra,campo7
202602,30684401250,CONTRIBUYENTE 1,922,25,F,5214252222222225522522550
202602,30683021209,CONTRIBUYENTE 2,901,20,E,5225252222222225522522440
202602,20382529635,CONTRIBUYENTE 3,901,12,G,5225251222112225522522440
202602,27061770955,CONTRIBUYENTE 4,901,59,H,5225252222222225522522440
202602,20181117533,CONTRIBUYENTE 5,904,84,A,5224252222222225522512550
202602,20358045309,CONTRIBUYENTE 6,901,11,F,4114141111111114411411440
202602,20294199153,CONTRIBUYENTE 7,913,63,P,5224242222212225422512450
202602,27253118372,CONTRIBUYENTE 8,902,35,F,5225252222222224522522440
202602,30586054798,CONTRIBUYENTE 9,904,21,V,4224252221221125522512450
202602,30710125909,CONTRIBUYENTE 10,921,78,V,4214241111111114411411440
202602,20465141787,CONTRIBUYENTE 11,902,92,A,5225252222222225522522440
202602,30500923837,CONTRIBUYENTE 12,901,23,A,5124152111212225411512440
202602,30712330216,CONTRIBUYENTE 13,901,34,X,5225252122222225522522540
202602,30715024604,CONTRIBUYENTE 14,902,34,E,5225252222222225522522440
202602,30643804855,CONTRIBUYENTE 15,901,10,T,5224252222212225522512440
202602,27008248791,CONTRIBUYENTE 16,911,95,T,5225242222222125522512450
202602,30715024736,CONTRIBUYENTE 17,915,48,V,5225252211222225522522550
202602,20076105139,CONTRIBUYENTE 18,902,14,B,5224242222222125522512440
202602,20321173846,CONTRIBUYENTE 19,913,47,V,4214141111111114411411440
202602,30710056214,CONTRIBUYENTE 20,918,82,X,5225251221211225522522440
202602,20215278442,CONTRIBUYENTE 21,902,43,A,5225252222222225522422450
202602,30715023993,CONTRIBUYENTE 22,904,74,H,5225252222222225522512450
202602,20333490278,CONTRIBUYENTE 23,902,78,A,5225252222222224522522450
202602,20362290911,CONTRIBUYENTE 24,917,71,T,5225252122222215522522550
202602,30708840889,CONTRIBUYENTE 25,901,69,G,5225241122122225512412440
202602,20321200789,CONTRIBUYENTE 26,915,99,K,5225252211222225522522550
202602,20045866506,CONTRIBUYENTE 27,902,77,S,5225252222222225522522440
202602,30710144938,CONTRIBUYENTE 28,913,48,X,5224251222212225522522550
202602,20063910342,CONTRIBUYENTE 29,904,99,A,5215252222222225522512550
202602,30712327479,CONTRIBUYENTE 30,915,92,X,5225252211222225522522550
